# Mars_year, Earth_year, Earth_month, Earth_day, delta_J2000
-184,1607,4,25,-143425.63
-183,1609,3,12,-142738.65
-182,1611,1,28,-142051.67
-181,1612,12,15,-141364.72
-180,1614,11,2,-140677.74
-179,1616,9,19,-139990.75
-178,1618,8,7,-139303.79
-177,1620,6,24,-138616.82
-176,1622,5,12,-137929.85
-175,1624,3,29,-137242.91
-174,1626,2,14,-136555.93
-173,1628,1,2,-135868.92
-172,1629,11,19,-135181.96
-171,1631,10,7,-134495.002
-170,1633,8,24,-133808.02
-169,1635,7,12,-133121.08
-168,1637,5,29,-132434.12
-167,1639,4,16,-131747.12
-166,1641,3,3,-131060.14
-165,1643,1,19,-130373.17
-164,1644,12,6,-129686.19
-163,1646,10,24,-128999.23
-162,1648,9,10,-128312.29
-161,1650,7,29,-127625.3
-160,1652,6,15,-126938.31
-159,1654,5,3,-126251.36
-158,1656,3,20,-125564.39
-157,1658,2,5,-124877.4
-156,1659,12,24,-124190.46
-155,1661,11,10,-123503.48
-154,1663,9,28,-122816.49
-153,1665,8,14,-122129.53
-152,1667,7,2,-121442.56
-151,1669,5,19,-120755.59
-150,1671,4,6,-120068.65
-149,1673,2,21,-119381.67
-148,1675,1,9,-118694.66
-147,1676,11,26,-118007.69
-146,1678,10,14,-117320.73
-145,1680,8,31,-116633.75
-144,1682,7,19,-115946.8
-143,1684,6,5,-115259.85
-142,1686,4,23,-114572.86
-141,1688,3,10,-113885.88
-140,1690,1,26,-113198.9
-139,1691,12,14,-112511.93
-138,1693,10,31,-111824.96
-137,1695,9,18,-111138.03
-136,1697,8,5,-110451.05
-135,1699,6,23,-109764.05
-134,1701,5,11,-109077.093
-133,1703,3,29,-108390.13
-132,1705,2,13,-107703.136
-131,1707,1,1,-107016.185
-130,1708,11,18,-106329.219
-129,1710,10,6,-105642.226
-128,1712,8,23,-104955.256
-127,1714,7,11,-104268.295
-126,1716,5,28,-103581.313
-125,1718,4,15,-102894.364
-124,1720,3,2,-102207.404
-123,1722,1,18,-101520.398
-122,1723,12,6,-100833.418
-121,1725,10,23,-100146.468
-120,1727,9,10,-99459.495
-119,1729,7,27,-98772.531
-118,1731,6,14,-98085.589
-117,1733,5,1,-97398.606
-116,1735,3,19,-96711.617
-115,1737,2,3,-96024.64
-114,1738,12,22,-95337.666
-113,1740,11,8,-94650.693
-112,1742,9,26,-93963.755
-111,1744,8,13,-93276.782
-110,1746,7,1,-92589.784
-109,1748,5,18,-91902.815
-108,1750,4,5,-91215.857
-107,1752,2,21,-90528.864
-106,1754,1,8,-89841.907
-105,1755,11,26,-89154.953
-104,1757,10,13,-88467.964
-103,1759,8,31,-87780.989
-102,1761,7,18,-87094.033
-101,1763,6,5,-86407.054
-100,1765,4,22,-85720.096
-99,1767,3,10,-85033.149
-98,1769,1,25,-84346.147
-97,1770,12,13,-83659.157
-96,1772,10,30,-82972.202
-95,1774,9,17,-82285.232
-94,1776,8,4,-81598.256
-93,1778,6,22,-80911.313
-92,1780,5,9,-80224.337
-91,1782,3,27,-79537.345
-90,1784,2,12,-78850.365
-89,1785,12,30,-78163.396
-88,1787,11,17,-77476.419
-87,1789,10,4,-76789.479
-86,1791,8,21,-76102.52
-85,1793,7,8,-75415.524
-84,1795,5,26,-74728.55
-83,1797,4,12,-74041.6
-82,1799,2,28,-73354.61
-81,1801,1,16,-72667.64
-80,1802,12,4,-71980.69
-79,1804,10,21,-71293.71
-78,1806,9,8,-70606.72
-77,1808,7,26,-69919.76
-76,1810,6,13,-69232.79
-75,1812,4,30,-68545.82
-74,1814,3,18,-67858.88
-73,1816,2,3,-67171.88
-72,1817,12,21,-66484.88
-71,1819,11,8,-65797.93
-70,1821,9,25,-65110.96
-69,1823,8,13,-64423.98
-68,1825,6,30,-63737.04
-67,1827,5,18,-63050.08
-66,1829,4,4,-62363.09
-65,1831,2,20,-61676.1
-64,1833,1,7,-60989.14
-63,1834,11,25,-60302.16
-62,1836,10,12,-59615.21
-61,1838,8,30,-58928.25
-60,1840,7,17,-58241.26
-59,1842,6,4,-57554.28
-58,1844,4,21,-56867.32
-57,1846,3,9,-56180.34
-56,1848,1,25,-55493.36
-55,1849,12,12,-54806.42
-54,1851,10,30,-54119.44
-53,1853,9,16,-53432.45
-52,1855,8,4,-52745.49
-51,1857,6,20,-52058.52
-50,1859,5,8,-51371.55
-49,1861,3,25,-50684.61
-48,1863,2,10,-49997.63
-47,1864,12,28,-49310.62
-46,1866,11,15,-48623.66
-45,1868,10,2,-47936.7
-44,1870,8,20,-47249.72
-43,1872,7,7,-46562.76
-42,1874,5,25,-45875.81
-41,1876,4,11,-45188.82
-40,1878,2,27,-44501.83
-39,1880,1,15,-43814.86
-38,1881,12,2,-43127.88
-37,1883,10,20,-42440.92
-36,1885,9,6,-41753.98
-35,1887,7,25,-41066.997
-34,1889,6,11,-40380.01
-33,1891,4,29,-39693.05
-32,1893,3,16,-39006.09
-31,1895,2,1,-38319.09
-30,1896,12,19,-37632.15
-29,1898,11,6,-36945.18
-28,1900,9,24,-36258.19
-27,1902,8,12,-35571.22
-26,1904,6,29,-34884.26
-25,1906,5,17,-34197.27
-24,1908,4,3,-33510.33
-23,1910,2,19,-32823.36
-22,1912,1,7,-32136.35
-21,1913,11,24,-31449.37
-20,1915,10,12,-30762.42
-19,1917,8,29,-30075.45
-18,1919,7,17,-29388.49
-17,1921,6,2,-28701.54
-16,1923,4,20,-28014.56
-15,1925,3,7,-27327.57
-14,1927,1,23,-26640.59
-13,1928,12,10,-25953.62
-12,1930,10,28,-25266.65
-11,1932,9,14,-24579.71
-10,1934,8,2,-23892.74
-9,1936,6,19,-23205.74
-8,1938,5,7,-22518.78
-7,1940,3,24,-21831.82
-6,1942,2,9,-21144.82
