# Mars_year, Earth_year, Earth_month, Earth_day, delta_J2000
-5,1943,12,28,-20457.87
-4,1945,11,14,-19770.91
-3,1947,10,2,-19083.92
-2,1949,8,19,-18396.94
-1,1951,7,7,-17709.98
0,1953,5,24,-17023.002
1,1955,4,11,-16336.05
2,1957,2,26,-15649.09
3,1959,1,14,-14962.09
4,1960,12,1,-14275.11
5,1962,10,19,-13588.16
6,1964,9,5,-12901.18
7,1966,7,24,-12214.21
8,1968,6,10,-11527.27
9,1970,4,28,-10840.29
10,1972,3,15,-10153.3
11,1974,1,31,-9466.317
12,1975,12,19,-8779.349
13,1977,11,5,-8092.373
14,1979,9,23,-7405.432
15,1981,8,10,-6718.466
16,1983,6,28,-6031.469
17,1985,5,15,-5344.497
18,1987,4,1,-4657.544
19,1989,2,16,-3970.55
20,1991,1,4,-3283.59
21,1992,11,21,-2596.642
22,1994,10,9,-1909.654
23,1996,8,26,-1222.672
24,1998,7,14,-535.714
25,2000,5,31,151.264
26,2002,4,18,838.229
27,2004,3,5,1525.176
28,2006,1,21,2212.173
29,2007,12,9,2899.166
30,2009,10,26,3586.124
31,2011,9,13,4273.09
32,2013,7,31,4960.07
33,2015,6,18,5647.012
34,2017,5,5,6333.979
35,2019,3,23,7020.971
36,2021,2,7,7707.956
37,2022,12,26,8394.918
38,2024,11,12,9081.896
39,2026,9,30,9768.843
40,2028,8,17,10455.797
41,2030,7,5,11142.793
42,2032,5,22,11829.774
43,2034,4,9,12516.727
44,2036,2,25,13203.716
45,2038,1,12,13890.691
46,2039,11,30,14577.634
47,2041,10,17,15264.618
48,2043,9,4,15951.609
49,2045,7,22,16638.569
50,2047,6,9,17325.539
51,2049,4,26,18012.511
52,2051,3,13,18699.451
53,2053,1,28,19386.438
54,2054,12,16,20073.435
55,2056,11,2,20760.397
56,2058,9,20,21447.355
57,2060,8,7,22134.338
58,2062,6,25,22821.286
59,2064,5,12,23508.242
60,2066,3,30,24195.234
61,2068,2,15,24882.228
62,2070,1,2,25569.193
63,2071,11,20,26256.173
64,2073,10,7,26943.131
65,2075,8,25,27630.078
66,2077,7,12,28317.068
67,2079,5,30,29004.055
68,2081,4,16,29691.009
69,2083,3,4,30377.985
70,2085,1,19,31064.971
71,2086,12,7,31751.911
72,2088,10,24,32438.882
73,2090,9,11,33125.875
74,2092,7,29,33812.839
75,2094,6,16,34499.801
76,2096,5,3,35186.78
77,2098,3,21,35873.724
78,2100,2,6,36560.703
79,2101,12,25,37247.706
80,2103,11,12,37934.68
81,2105,9,29,38621.635
82,2107,8,17,39308.617
83,2109,7,4,39995.576
84,2111,5,22,40682.523
85,2113,4,8,41369.51
86,2115,2,24,42056.507
87,2117,1,10,42743.474
88,2118,11,28,43430.445
89,2120,10,15,44117.411
90,2122,9,2,44804.349
91,2124,7,20,45491.328
92,2126,6,7,46178.32
93,2128,4,24,46865.281
94,2130,3,12,47552.248
95,2132,1,28,48239.246
96,2133,12,15,48926.192
97,2135,11,2,49613.155
98,2137,9,19,50300.15
99,2139,8,7,50987.124
100,2141,6,24,51674.083
