list_number,word_location_in_list,words,category,list_type,AoA,AoA_source,AoA_in_years
1,1,hockey,sports,scrambled,5.44,Kuperman et al,5.44
1,2,cola,beverage,scrambled,307,Bristol & Gilhooly,5.5
1,3,duck,bird,scrambled,164,MRC,1
1,4,brain,bodypart,scrambled,347,MRC,5.5
1,5,judge,occupation,scrambled,448,Bird et al,7.5
1,6,wave,earthformation,scrambled,260,Bristol & Gilhooly,3.5
1,7,dragon,fictional,scrambled,5.58,Kuperman et al,5.58
1,8,kiwi,fruit,scrambled,544,Bird et al,9.5
1,9,bench,furniture,scrambled,311,MRC,5.5
1,10,termite,insect,scrambled,7.94,Kuperman et al,7.94
1,11,stove,kitchenware,scrambled,297,MRC,3.5
1,12,keyboard,instrument,scrambled,9.32,Kuperman et al,9.32
2,1,dentist,occuption,scrambled,5.22,Kuperman et al,5.22
2,2,fan,building,scrambled,5.63,Kuperman et al,5.63
2,3,novel,reading,scrambled,475,Bristol & Gilhooly,7.5
2,4,squid,seacreature,scrambled,7.32,Kuperman et al,7.32
2,5,broom,tool,scrambled,86.5,Morrison et al,7
2,6,block,toy,scrambled,244,Bristol & Gilhooly,3.5
2,7,jet,transportation,scrambled,5.39,Kuperman et al,5.39
2,8,mushroom,vegetable,scrambled,6.44,Kuperman et al,6.44
2,9,squirrel,animal,scrambled,25.1,Morrison et al,2
2,10,lacrosse,sports,scrambled,12.94,Kuperman et al,12.94
2,11,cocktail,beverage,scrambled,9.53,Kuperman et al,9.53
2,12,parrot ,bird,scrambled,337,Bird et al,5.5
3,1,hand,bodypart,scrambled,23.4,Morrison et al,1
3,2,suit,clothing,scrambled,368,Bird et al,5.5
3,3,sink,kitchenware,scrambled,236,Bird et al,3.5
3,4,genie,fictional,scrambled,6.67,Kuperman et al,6.67
3,5,peach,fruit,scrambled,292,MRC,3.5
3,6,bookcase,furniture,scrambled,5.63,Kuperman et al,5.63
3,7,cricket,insect,scrambled,337,Bristol & Gilhooly,5.5
3,8,glacier,earthformation,scrambled,8.05,Schock et al,8.05
3,9,trombone,instrument,scrambled,7.83,Kuperman et al,7.83
3,10,driver,occupation,scrambled,283,MRC,3.5
3,11,deck,building,scrambled,347,Bristol & Gilhooly,5.5
3,12,axe,tool,scrambled,311,MRC,5.5
4,1,seahorse,seacreature,scrambled,5.83,Kuperman et al,5.83
4,2,tape,tool,scrambled,406,MRC,7.5
4,3,ball,toy,scrambled,2.9,Kuperman et al,2.9
4,4,bike,transportation,scrambled,199,Bristol & Gilhooly,1
4,5,carrot,vegetable,scrambled,25.1,Morrison et al,2
4,6,mouse,animal,scrambled,242,MRC,3.5
4,7,badminton,sports,scrambled,10.94,Kuperman et al,10.94
4,8,coffee,beverage,scrambled,292,MRC,3.5
4,9,hawk,bird,scrambled,400,Bristol & Gilhooly,7.5
4,10,tongue,bodypart,scrambled,199,Bristol & Gilhooly,1
4,11,jeans,clothing,scrambled,5.26,Kuperman et al,5.26
4,12,dirt,earthformation,scrambled,220,Bristol & Gilhooly,3.5
5,1,troll,fictional,scrambled,5.72,Kuperman et al,5.72
5,2,blueberry,fruit,scrambled,289,MRC,3.5
5,3,cot,furniture,scrambled,7.53,Kuperman et al,7.53
5,4,spider,insect,scrambled,3.43,Kuperman et al,3.43
5,5,dishwasher,kitchenware,scrambled,7.16,Kuperman et al,7.16
5,6,harp,instrument,scrambled,7.55,Kuperman et al,7.55
5,7,scientist,occupation,scrambled,6.89,Kuperman et al,6.89
5,8,door,building,scrambled,214,Bristol & Gilhooly,3.5
5,9,brochure,reading,scrambled,9.58,Kuperman et al,9.58
5,10,urchin,seacreature,scrambled,469,Bristol & Gilhooly,7.5
5,11,rake,tool,scrambled,336,MRC,5.5
5,12,puzzle,toy,scrambled,5.11,Kuperman et al,5.11
6,1,subway,transportation,scrambled,7.68,Kuperman et al,7.68
