id,experimenter,familiar with all items (1/0),animal,beverage,bird,body part,part of a building,an article of clothing,earth formation,fictional character,fruit,furniture,insect,musical instrument,kitchenware,occupation,reading material,sea creature,tool,toy,transportation,vegetable,sports
(example) 0,FS,,cow deer spider,champange,,,,,,,mango,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,
5,SM,1,,,,,,,,,,,,,,,,,,,,,
6,SM,0,,,stork,,,,,,,,,,,,,,,,,leek,
7,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,
11,SM,1,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,
13,DS,0,,,,,,,,,,cot,,,,,,,,,,,
14,SM,0,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,
18,SM,1,,,,,,,,,,,,,,,,,,,,,
19,SM,0,,champagne cocktail,,,,,,,date,,,oboe bagpipes cello,strainer,,script brochure,,,,,squash turnip,fencing lacrosse badminton
20,,,,,,,,,,,,,,,,,,,,,,,
21,SM,1,,,,,,,,,,,,,,,,,,,,,
22,DS,0,,,robin stork,,,,,centaur,,,termite,,,,,,,,,,
23,DS,0,,,robin stork,,,,,,prune,,termite,,,,,salmon trout,,,,leek,
24,SM,1,,,,,,,,centaur yeti,,,,oboe,,,,manatee,,,,,
25,SM,1,,,,,,,,,,,,,,,,,,,,,
26,SM,1,,,,,,,,,,,,,,,,,,,,,
27,SM,1,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,
29,DS,1,,,,,,,,,,,,,,,,,,,,,
30,SL,1,,,,,,,,,,,,,,,,,,,,,
31,FS,,,,,,,,,,,,,,,,,,,,,,
32,SL,1,,,,,,,,,,,,,,,,,,,,,
33,FS,,,,,,,,,,,,,,,,,,,,,,
34,SL,0,,,,,,,,centaur,,,gnat,,,,brochure,,,,ferry,leek,
35,FS,1,,,,,,,,,,,,,,,,,,,,,
36,FS,0,,,,,,,,centaur,,,gnat,,,,,,,,,,
37,FS,,,,,,,,,,,,,,,,,,,,,,
38,SL,1,,,,,,,,,,,,,,,,,,,,,
39,SL,0,,,,,,,,,,,,oboe,,,brochure,,,,,,
40,SL,0,,cocktail,stork,,,,,,date prunes,nightstand,,oboe,,,brochure,,,,,leek kale,
41,FS,0,,cider,,,,,,,,,gnat,,,,,,,,moped,,
42,FS,0,,,,,,,,,,,,,,,,,,,moped,,
43,FS,,,,,,,,,,,,,,,,,,,,,,
44,SL,0,,cocktail,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,
46,FS,,,,,,,,,,,,,,,,,,,,,,
47,FS,,,,,,,,,,,,,,,,,,,,,,
48,DS,1,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,
50,FS,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,
52,DS,1,,,,,,,,,,,,,,,,,,,,,
53,SL,0,,champagne cocktail sprite,stork,,,,,,,,,bagpipes,strainer,,brochure,piranha,,,moped yacht,,
54,SL,0,,cider cocktail punch,stork,,pillar deck,jersey boots coat,,yeti werewolf goblin,date,cot wardrobe,gnat,oboe cello,ladle strainer,driver,brochure recipre,oyster plankton,pliers,,ferry yacht subway boat canoe carriage,kale leek,lacrosse badminton
55,FS,0,,champange cocktail,,,,coat jacket jersey,,,,,,,,,,oyster,,,,,
56,SL,0,,champagne,stork,,,,,,prunes,,termite maggot flea gnat,,ladle,,,,,,moped yacht,leek,
